source	target	value	name	group	size	count	cancer	relation	gene
1	E	1	Gallbladder Carcinoma	2	1	2	Gallbladder Carcinoma	ASSOCIATED_WITH	AFP
1	C	1	Cholangiocarcinoma	2	1	3	Cholangiocarcinoma	ASSOCIATED_WITH	AFP
1	F	1	Intrahepatic Cholangiocarcinoma	2	1	3	Intrahepatic Cholangiocarcinoma	ASSOCIATED_WITH	AFP
1	F	1	Intrahepatic Cholangiocarcinoma	4	1	3	Intrahepatic Cholangiocarcinoma	CAUSES	AFP
2	F	1	Intrahepatic Cholangiocarcinoma	2	1	1	Intrahepatic Cholangiocarcinoma	ASSOCIATED_WITH	AKT1
3	D	1	Extrahepatic Cholangiocarcinoma	2	1	2	Extrahepatic Cholangiocarcinoma	ASSOCIATED_WITH	APC
3	E	1	Gallbladder Carcinoma	2	1	3	Gallbladder Carcinoma	ASSOCIATED_WITH	APC
4	E	1	Gallbladder Carcinoma	5	1	1	Gallbladder Carcinoma	DISRUPTS	APOA1
5	A	1	Biliary Tract Cancer	2	1	1	Biliary Tract Cancer	ASSOCIATED_WITH	ARID1A
5	F	1	Intrahepatic Cholangiocarcinoma	2	1	4	Intrahepatic Cholangiocarcinoma	ASSOCIATED_WITH	ARID1A
6	B	1	Carcinoma of ampulla of Vater	2	1	1	Carcinoma of ampulla of Vater	ASSOCIATED_WITH	BAK1
7	B	1	Carcinoma of ampulla of Vater	2	1	2	Carcinoma of ampulla of Vater	ASSOCIATED_WITH	BCL2L1
8	E	1	Gallbladder Carcinoma	2	1	2	Gallbladder Carcinoma	ASSOCIATED_WITH	BIRC5
9	B	1	Carcinoma of ampulla of Vater	2	1	1	Carcinoma of ampulla of Vater	ASSOCIATED_WITH	BRAF
9	F	1	Intrahepatic Cholangiocarcinoma	2	1	1	Intrahepatic Cholangiocarcinoma	ASSOCIATED_WITH	BRAF
9	C	1	Cholangiocarcinoma	2	1	2	Cholangiocarcinoma	ASSOCIATED_WITH	BRAF
9	A	1	Biliary Tract Cancer	2	1	3	Biliary Tract Cancer	ASSOCIATED_WITH	BRAF
10	F	1	Intrahepatic Cholangiocarcinoma	2	1	3	Intrahepatic Cholangiocarcinoma	ASSOCIATED_WITH	CAPNS1
11	F	1	Intrahepatic Cholangiocarcinoma	1	1	1	Intrahepatic Cholangiocarcinoma	AFFECTS	CCND1
11	F	1	Intrahepatic Cholangiocarcinoma	2	1	1	Intrahepatic Cholangiocarcinoma	ASSOCIATED_WITH	CCND1
12	E	1	Gallbladder Carcinoma	2	1	1	Gallbladder Carcinoma	ASSOCIATED_WITH	CCNE1
13	E	1	Gallbladder Carcinoma	2	1	1	Gallbladder Carcinoma	ASSOCIATED_WITH	CD151
13	F	1	Intrahepatic Cholangiocarcinoma	2	1	1	Intrahepatic Cholangiocarcinoma	ASSOCIATED_WITH	CD151
14	A	1	Biliary Tract Cancer	2	1	1	Biliary Tract Cancer	ASSOCIATED_WITH	CD4
14	D	1	Extrahepatic Cholangiocarcinoma	2	1	1	Extrahepatic Cholangiocarcinoma	ASSOCIATED_WITH	CD4
15	C	1	Cholangiocarcinoma	1	1	1	Cholangiocarcinoma	AFFECTS	CDKN2A
15	F	1	Intrahepatic Cholangiocarcinoma	1	1	1	Intrahepatic Cholangiocarcinoma	AFFECTS	CDKN2A
15	C	1	Cholangiocarcinoma	5	1	1	Cholangiocarcinoma	DISRUPTS	CDKN2A
15	A	1	Biliary Tract Cancer	2	1	2	Biliary Tract Cancer	ASSOCIATED_WITH	CDKN2A
15	D	1	Extrahepatic Cholangiocarcinoma	2	1	2	Extrahepatic Cholangiocarcinoma	ASSOCIATED_WITH	CDKN2A
15	F	1	Intrahepatic Cholangiocarcinoma	2	1	2	Intrahepatic Cholangiocarcinoma	ASSOCIATED_WITH	CDKN2A
15	C	1	Cholangiocarcinoma	2	1	3	Cholangiocarcinoma	ASSOCIATED_WITH	CDKN2A
15	E	1	Gallbladder Carcinoma	2	1	7	Gallbladder Carcinoma	ASSOCIATED_WITH	CDKN2A
16	E	1	Gallbladder Carcinoma	2	1	1	Gallbladder Carcinoma	ASSOCIATED_WITH	CIZ1
17	E	1	Gallbladder Carcinoma	2	1	2	Gallbladder Carcinoma	ASSOCIATED_WITH	CLIC1
18	F	1	Intrahepatic Cholangiocarcinoma	2	1	1	Intrahepatic Cholangiocarcinoma	ASSOCIATED_WITH	CPS1
19	C	1	Cholangiocarcinoma	2	1	1	Cholangiocarcinoma	ASSOCIATED_WITH	DAPK1
20	D	1	Extrahepatic Cholangiocarcinoma	1	1	1	Extrahepatic Cholangiocarcinoma	AFFECTS	DCC
20	A	1	Biliary Tract Cancer	2	1	2	Biliary Tract Cancer	ASSOCIATED_WITH	DCC
20	E	1	Gallbladder Carcinoma	2	1	2	Gallbladder Carcinoma	ASSOCIATED_WITH	DCC
21	E	1	Gallbladder Carcinoma	2	1	1	Gallbladder Carcinoma	ASSOCIATED_WITH	DICER1
22	A	1	Biliary Tract Cancer	2	1	1	Biliary Tract Cancer	ASSOCIATED_WITH	DPYD
22	B	1	Carcinoma of ampulla of Vater	2	1	1	Carcinoma of ampulla of Vater	ASSOCIATED_WITH	DPYD
22	E	1	Gallbladder Carcinoma	2	1	2	Gallbladder Carcinoma	ASSOCIATED_WITH	DPYD
23	E	1	Gallbladder Carcinoma	2	1	2	Gallbladder Carcinoma	ASSOCIATED_WITH	E2F1
24	C	1	Cholangiocarcinoma	2	1	2	Cholangiocarcinoma	ASSOCIATED_WITH	EPCAM
24	E	1	Gallbladder Carcinoma	2	1	3	Gallbladder Carcinoma	ASSOCIATED_WITH	EPCAM
25	E	1	Gallbladder Carcinoma	2	1	2	Gallbladder Carcinoma	ASSOCIATED_WITH	EPHA7
